Id_Encuesta,N_Encuesta,encuesta_a,encuesta_m,zona_u_r,region,Sexo,Edad,estrato,iden_pol_3
1,71,2014,7.0,1.0,15.0,1,47,3.0,
2,71,2014,7.0,1.0,15.0,1,38,3.0,
3,71,2014,7.0,1.0,15.0,2,69,3.0,
4,71,2014,7.0,1.0,15.0,1,22,3.0,
5,71,2014,7.0,1.0,15.0,2,45,3.0,
6,71,2014,7.0,1.0,15.0,1,31,3.0,
7,71,2014,7.0,1.0,15.0,1,30,3.0,
8,71,2014,7.0,1.0,15.0,1,19,3.0,
9,71,2014,7.0,1.0,15.0,2,27,3.0,
10,71,2014,7.0,1.0,15.0,1,28,3.0,
11,71,2014,7.0,1.0,15.0,2,25,2.0,
12,71,2014,7.0,1.0,15.0,2,18,4.0,
13,71,2014,7.0,1.0,15.0,2,71,4.0,
14,71,2014,7.0,1.0,15.0,2,23,4.0,
15,71,2014,7.0,1.0,15.0,2,32,4.0,
16,71,2014,7.0,1.0,15.0,1,54,3.0,
17,71,2014,7.0,1.0,15.0,1,59,4.0,
18,71,2014,7.0,1.0,1.0,2,53,3.0,
19,71,2014,7.0,1.0,1.0,2,55,3.0,
20,71,2014,7.0,1.0,1.0,1,62,3.0,
21,71,2014,7.0,1.0,1.0,2,60,2.0,
22,71,2014,7.0,1.0,1.0,2,38,3.0,
23,71,2014,7.0,1.0,1.0,1,34,4.0,
24,71,2014,7.0,1.0,1.0,1,23,4.0,
25,71,2014,7.0,1.0,1.0,1,72,4.0,
26,71,2014,7.0,1.0,1.0,1,42,3.0,
27,71,2014,7.0,1.0,1.0,1,73,4.0,
28,71,2014,7.0,1.0,1.0,1,30,3.0,
29,71,2014,7.0,1.0,1.0,2,27,3.0,
30,71,2014,7.0,1.0,1.0,2,30,3.0,
31,71,2014,7.0,1.0,1.0,2,56,2.0,
32,71,2014,7.0,1.0,1.0,2,22,2.0,
33,71,2014,7.0,1.0,1.0,2,34,2.0,
34,71,2014,7.0,1.0,1.0,2,22,2.0,
35,71,2014,7.0,1.0,1.0,1,37,4.0,
36,71,2014,7.0,1.0,1.0,1,26,3.0,
37,71,2014,7.0,1.0,2.0,1,70,4.0,
38,71,2014,7.0,1.0,2.0,1,43,4.0,
39,71,2014,7.0,1.0,2.0,2,67,4.0,
40,71,2014,7.0,1.0,2.0,1,39,3.0,
41,71,2014,7.0,1.0,2.0,2,26,3.0,
42,71,2014,7.0,1.0,2.0,1,33,4.0,
43,71,2014,7.0,1.0,2.0,2,58,3.0,
44,71,2014,7.0,1.0,2.0,2,24,4.0,
45,71,2014,7.0,1.0,2.0,2,45,4.0,
46,71,2014,7.0,1.0,2.0,1,49,4.0,
47,71,2014,7.0,1.0,2.0,1,38,4.0,
48,71,2014,7.0,1.0,2.0,1,20,3.0,
49,71,2014,7.0,1.0,2.0,2,33,2.0,
50,71,2014,7.0,1.0,2.0,2,40,2.0,
51,71,2014,7.0,1.0,2.0,1,27,2.0,
52,71,2014,7.0,1.0,2.0,2,29,2.0,
53,71,2014,7.0,1.0,2.0,1,71,2.0,
54,71,2014,7.0,1.0,2.0,2,66,2.0,
55,71,2014,7.0,1.0,2.0,2,59,4.0,
56,71,2014,7.0,1.0,2.0,1,66,4.0,
57,71,2014,7.0,1.0,2.0,1,59,4.0,
58,71,2014,7.0,1.0,2.0,1,64,4.0,
59,71,2014,7.0,1.0,2.0,2,47,4.0,
60,71,2014,7.0,1.0,2.0,1,23,4.0,
61,71,2014,7.0,1.0,2.0,1,68,4.0,
62,71,2014,7.0,1.0,2.0,2,38,4.0,
63,71,2014,7.0,1.0,2.0,2,30,4.0,
64,71,2014,7.0,1.0,2.0,1,39,4.0,
65,71,2014,7.0,1.0,2.0,1,21,4.0,
66,71,2014,7.0,1.0,2.0,2,65,4.0,
67,71,2014,7.0,1.0,2.0,2,57,3.0,
68,71,2014,7.0,1.0,2.0,2,23,3.0,
69,71,2014,7.0,1.0,2.0,2,58,3.0,
70,71,2014,7.0,1.0,2.0,1,41,2.0,
71,71,2014,7.0,1.0,2.0,1,47,2.0,
72,71,2014,7.0,1.0,2.0,1,51,3.0,
73,71,2014,7.0,1.0,2.0,2,27,2.0,
74,71,2014,7.0,1.0,2.0,1,32,3.0,
75,71,2014,7.0,1.0,2.0,1,56,2.0,
76,71,2014,7.0,1.0,2.0,2,60,3.0,
77,71,2014,7.0,1.0,2.0,1,53,2.0,
78,71,2014,7.0,1.0,2.0,1,45,2.0,
79,71,2014,7.0,1.0,2.0,2,31,4.0,
80,71,2014,7.0,1.0,2.0,1,43,4.0,
81,71,2014,7.0,1.0,2.0,2,82,3.0,
82,71,2014,7.0,1.0,2.0,1,55,4.0,
83,71,2014,7.0,1.0,2.0,2,28,3.0,
84,71,2014,7.0,1.0,2.0,1,35,4.0,
85,71,2014,7.0,1.0,2.0,2,45,4.0,
86,71,2014,7.0,1.0,2.0,1,44,4.0,
87,71,2014,7.0,1.0,2.0,2,36,4.0,
88,71,2014,7.0,1.0,2.0,1,63,4.0,
89,71,2014,7.0,1.0,2.0,1,28,3.0,
90,71,2014,7.0,1.0,2.0,2,27,4.0,
91,71,2014,7.0,1.0,3.0,1,43,3.0,
92,71,2014,7.0,1.0,3.0,2,67,4.0,
93,71,2014,7.0,1.0,3.0,1,79,4.0,
94,71,2014,7.0,1.0,3.0,1,56,4.0,
95,71,2014,7.0,1.0,3.0,1,68,3.0,
96,71,2014,7.0,1.0,3.0,1,73,4.0,
97,71,2014,7.0,1.0,3.0,2,74,3.0,
98,71,2014,7.0,1.0,3.0,1,96,3.0,
99,71,2014,7.0,1.0,3.0,1,80,3.0,
100,71,2014,7.0,1.0,3.0,1,62,3.0,
101,71,2014,7.0,1.0,3.0,1,70,3.0,
102,71,2014,7.0,1.0,3.0,2,49,3.0,
103,71,2014,7.0,1.0,3.0,2,28,3.0,
104,71,2014,7.0,1.0,3.0,1,71,3.0,
105,71,2014,7.0,1.0,3.0,1,54,4.0,
106,71,2014,7.0,1.0,3.0,1,52,3.0,
107,71,2014,7.0,1.0,3.0,2,59,3.0,
108,71,2014,7.0,1.0,3.0,2,60,2.0,
109,71,2014,7.0,1.0,3.0,1,25,2.0,
110,71,2014,7.0,1.0,3.0,1,41,3.0,
111,71,2014,7.0,1.0,3.0,2,65,3.0,
112,71,2014,7.0,1.0,3.0,2,83,3.0,
113,71,2014,7.0,1.0,3.0,2,83,3.0,
114,71,2014,7.0,1.0,4.0,1,23,3.0,
115,71,2014,7.0,1.0,4.0,1,41,2.0,
