Id_Encuesta,percepcion_1_a,percepcion_1_b,percepcion_1_c,percepcion_2,percepcion_3,percepcion_4,percepcion_5,percepcion_6,percepcion_38,percepcion_39
1,5,6,3,4,,1,,,,
2,3,8,7,4,,1,,,,
3,10,4,3,2,,2,,,,
4,9,2,5,4,,1,,,,
5,1,11,6,3,,1,,,,
6,16,2,14,4,,1,,,,
7,9,10,3,4,,1,,,,
8,10,5,8,4,,1,,,,
9,5,10,11,2,,2,,,,
10,3,11,10,3,,2,,,,
11,10,5,9,4,,1,,,,
12,8,9,7,3,,2,,,,
13,10,9,3,3,,1,,,,
14,4,7,17,3,,1,,,,
15,10,11,5,3,,1,,,,
16,17,11,10,3,,2,,,,
17,6,7,10,2,,2,,,,
18,10,7,5,3,,2,,,,
19,10,2,3,3,,2,,,,
20,5,10,11,3,,1,,,,
21,5,7,10,4,,1,,,,
22,2,5,10,3,,1,,,,
23,9,3,17,3,,1,,,,
24,5,9,10,3,,1,,,,
25,10,13,5,4,,1,,,,
26,10,13,5,3,,1,,,,
27,5,10,11,2,,2,,,,
28,7,6,3,2,,2,,,,
29,10,13,5,3,,2,,,,
30,9,11,13,3,,2,,,,
31,6,10,11,4,,1,,,,
32,5,3,11,3,,2,,,,
33,1,11,13,2,,2,,,,
34,1,5,11,3,,2,,,,
35,5,10,3,2,,2,,,,
36,13,5,6,4,,2,,,,
37,5,6,11,2,,2,,,,
38,9,13,3,1,,3,,,,
39,11,10,5,2,,2,,,,
40,13,11,9,2,,2,,,,
41,5,9,10,3,,1,,,,
42,13,3,10,3,,2,,,,
43,9,1,3,3,,2,,,,
44,4,5,10,4,,1,,,,
45,6,5,14,4,,2,,,,
46,9,3,7,2,,2,,,,
47,9,3,10,3,,1,,,,
48,3,5,7,3,,1,,,,
49,10,5,17,3,,1,,,,
50,17,5,10,2,,1,,,,
51,5,10,8,5,,1,,,,
52,10,13,7,4,,1,,,,
53,16,8,1,4,,1,,,,
54,13,10,7,2,,1,,,,
55,3,14,11,4,,1,,,,
56,10,13,2,2,,2,,,,
57,10,5,9,3,,1,,,,
58,10,17,2,3,,1,,,,
59,10,5,3,3,,1,,,,
60,10,9,13,3,,1,,,,
61,9,10,17,4,,1,,,,
62,9,7,17,3,,1,,,,
63,12,13,5,5,,1,,,,
64,11,13,9,3,,1,,,,
65,7,5,10,2,,2,,,,
66,9,10,11,3,,2,,,,
67,17,10,5,3,,2,,,,
68,9,8,3,3,,2,,,,
69,10,3,11,3,,2,,,,
70,3,9,14,4,,1,,,,
71,16,14,10,2,,1,,,,
72,3,14,10,3,,2,,,,
73,5,3,11,4,,1,,,,
74,7,10,17,3,,1,,,,
75,10,3,2,3,,1,,,,
76,14,3,10,3,,2,,,,
77,10,11,3,3,,1,,,,
78,14,7,10,4,,2,,,,
79,13,10,3,3,,1,,,,
80,17,10,5,3,,1,,,,
81,3,10,7,3,,2,,,,
82,17,11,9,1,,2,,,,
83,10,3,5,3,,1,,,,
84,14,10,9,4,,1,,,,
85,10,11,14,2,,2,,,,
86,3,9,10,3,,2,,,,
87,9,7,3,2,,2,,,,
88,17,3,10,1,,2,,,,
89,10,14,4,4,,1,,,,
90,5,6,7,3,,2,,,,
91,10,3,11,3,,2,,,,
92,3,1,11,2,,1,,,,
93,3,14,7,3,,2,,,,
94,3,9,14,3,,2,,,,
95,3,7,2,3,,1,,,,
96,7,14,11,3,,2,,,,
97,10,3,7,3,,1,,,,
98,9,10,11,2,,9,,,,
99,3,10,14,3,,2,,,,
100,3,9,10,3,,2,,,,
101,2,3,9,3,,9,,,,
102,10,5,3,3,,2,,,,
103,17,13,5,3,,1,,,,
104,10,5,7,5,,1,,,,
105,10,3,2,2,,2,,,,
106,5,10,6,2,,1,,,,
107,5,3,10,2,,3,,,,
108,7,3,11,4,,2,,,,
109,5,3,11,4,,2,,,,
110,3,10,5,3,,2,,,,
111,10,3,8,3,,2,,,,
112,11,10,7,3,,1,,,,
113,3,5,9,3,,2,,,,
114,10,9,5,3,,2,,,,
115,3,7,5,3,,3,,,,
116,11,6,13,3,,1,,,,
117,10,11,1,3,,1,,,,
118,9,6,7,4,,1,,,,
119,1,3,11,3,,1,,,,
120,2,5,7,4,,1,,,,
121,3,13,10,3,,2,,,,
122,10,1,5,4,,2,,,,
123,11,1,4,4,,1,,,,
124,11,3,1,3,,1,,,,
125,1,11,10,3,,2,,,,
126,10,11,1,3,,1,,,,
127,1,3,5,3,,2,,,,
128,9,1,7,3,,1,,,,
129,11,3,5,4,,1,,,,
130,11,17,2,2,,2,,,,
131,11,17,2,2,,9,,,,
132,10,11,3,3,,2,,,,
133,3,6,11,2,,2,,,,
134,7,1,11,3,,2,,,,
135,11,10,3,3,,2,,,,
136,9,3,5,3,,1,,,,
137,13,11,5,3,,1,,,,
138,1,11,10,4,,1,,,,
139,11,9,13,4,,1,,,,
140,3,9,13,3,,1,,,,
141,3,9,11,4,,1,,,,
142,11,10,1,3,,2,,,,
143,10,11,13,2,,2,,,,
144,3,10,11,2,,2,,,,
145,10,17,14,3,,1,,,,
146,11,13,5,4,,1,,,,
147,5,10,11,3,,2,,,,
148,6,5,14,3,,2,,,,
149,10,11,7,3,,1,,,,
150,9,13,11,3,,2,,,,
151,11,10,6,2,,2,,,,
152,10,11,88,2,,2,,,,
153,10,5,7,3,,2,,,,
154,5,16,13,3,,2,,,,
155,5,10,88,3,,2,,,,
156,5,9,7,2,,2,,,,
157,11,7,12,3,,2,,,,
158,9,10,13,3,,1,,,,
159,3,7,1,3,,1,,,,
160,10,11,14,1,,2,,,,
161,8,5,1,3,,2,,,,
162,3,88,88,3,,8,,,,
163,10,3,11,2,,1,,,,
164,6,5,3,2,,2,,,,
165,7,6,13,1,,1,,,,
166,3,10,7,1,,2,,,,
167,5,13,6,2,,2,,,,
168,10,6,9,3,,2,,,,
169,5,10,13,3,,2,,,,
170,1,3,6,3,,1,,,,
171,3,5,10,4,,2,,,,
172,10,7,13,3,,1,,,,
173,7,17,11,2,,2,,,,
174,5,11,14,3,,2,,,,
175,3,10,1,2,,2,,,,
176,10,5,14,4,,1,,,,
177,5,10,6,4,,1,,,,
178,10,5,9,3,,2,,,,
179,2,10,6,4,,1,,,,
180,8,6,5,4,,1,,,,
181,9,1,14,3,,2,,,,
182,11,7,6,3,,2,,,,
183,11,7,5,3,,2,,,,
184,5,10,12,1,,1,,,,
185,11,3,9,3,,2,,,,
186,15,17,4,2,,3,,,,
187,3,2,9,4,,1,,,,
188,11,10,3,2,,2,,,,
189,9,3,11,5,,8,,,,
190,10,11,9,3,,1,,,,
191,6,11,1,4,,1,,,,
192,17,2,3,4,,3,,,,
193,3,7,10,3,,2,,,,
194,5,10,11,3,,2,,,,
195,10,11,7,2,,2,,,,
196,5,10,1,4,,1,,,,
197,3,9,10,3,,2,,,,
198,7,2,11,3,,1,,,,
199,3,5,10,2,,2,,,,
200,5,8,11,3,,1,,,,
201,11,6,17,3,,2,,,,
202,6,11,14,2,,2,,,,
203,9,3,11,3,,2,,,,
204,11,10,3,3,,1,,,,
205,6,10,2,3,,2,,,,
206,10,11,9,3,,1,,,,
207,5,10,9,3,,1,,,,
208,2,3,9,2,,2,,,,
209,5,3,2,4,,1,,,,
210,8,10,2,3,,1,,,,
211,5,17,7,2,,2,,,,
212,14,3,1,4,,1,,,,
213,3,11,12,2,,2,,,,
214,17,13,7,2,,3,,,,
215,3,11,17,4,,1,,,,
216,11,14,9,2,,3,,,,
217,3,5,6,2,,2,,,,
218,6,10,13,3,,2,,,,
219,1,11,13,4,,1,,,,
220,3,5,6,2,,2,,,,
221,3,2,1,2,,2,,,,
222,1,3,11,2,,1,,,,
223,3,2,14,4,,1,,,,
224,3,5,17,3,,2,,,,
225,10,3,17,2,,2,,,,
226,17,14,5,4,,2,,,,
227,11,10,5,1,,2,,,,
228,13,11,10,3,,2,,,,
229,13,11,5,2,,2,,,,
230,7,11,10,3,,1,,,,
231,10,11,3,1,,2,,,,
232,5,14,2,2,,2,,,,
233,3,9,10,4,,1,,,,
234,3,8,14,4,,1,,,,
235,16,5,15,4,,1,,,,
236,3,5,10,4,,2,,,,
237,5,3,10,3,,2,,,,
238,11,10,14,3,,1,,,,
239,10,5,13,4,,1,,,,
240,9,13,5,3,,2,,,,
241,17,5,10,4,,3,,,,
