Id_Encuesta,eval_gob_1,eval_act_pol_1_p,eval_act_pol_1_fh,eval_act_pol_1_dv,eval_act_pol_1_co,eval_act_pol_1_ca,eval_act_pol_1_ae,eval_act_pol_1_er,eval_act_pol_1_gt,eval_act_pol_17,eval_act_pol_18,pp_congreso_61_b
1,1,3.0,,,,5.0,,,,,,
2,3,8.0,,,,8.0,,,,,,
3,2,4.0,,,,2.0,,,,,,
4,3,4.0,,,,3.0,,,,,,
5,1,2.0,,,,4.0,,,,,,
6,9,9.0,,,,9.0,,,,,,
7,1,1.0,,,,3.0,,,,,,
8,3,4.0,,,,4.0,,,,,,
9,3,3.0,,,,4.0,,,,,,
10,2,3.0,,,,2.0,,,,,,
11,1,4.0,,,,5.0,,,,,,
12,1,3.0,,,,5.0,,,,,,
13,1,4.0,,,,4.0,,,,,,
14,3,4.0,,,,3.0,,,,,,
15,1,1.0,,,,5.0,,,,,,
16,3,6.0,,,,4.0,,,,,,
17,2,3.0,,,,4.0,,,,,,
18,3,3.0,,,,3.0,,,,,,
19,1,1.0,,,,4.0,,,,,,
20,3,2.0,,,,4.0,,,,,,
21,1,3.0,,,,3.0,,,,,,
22,3,6.0,,,,4.0,,,,,,
23,1,2.0,,,,4.0,,,,,,
24,3,2.0,,,,3.0,,,,,,
25,3,4.0,,,,4.0,,,,,,
26,1,3.0,,,,4.0,,,,,,
27,2,2.0,,,,2.0,,,,,,
28,2,4.0,,,,4.0,,,,,,
29,1,3.0,,,,4.0,,,,,,
30,1,1.0,,,,5.0,,,,,,
31,1,2.0,,,,5.0,,,,,,
32,1,1.0,,,,5.0,,,,,,
33,8,2.0,,,,4.0,,,,,,
34,1,4.0,,,,5.0,,,,,,
35,2,1.0,,,,6.0,,,,,,
36,2,3.0,,,,3.0,,,,,,
37,3,3.0,,,,3.0,,,,,,
38,2,3.0,,,,2.0,,,,,,
39,2,3.0,,,,2.0,,,,,,
40,2,4.0,,,,2.0,,,,,,
41,3,3.0,,,,4.0,,,,,,
42,3,5.0,,,,3.0,,,,,,
43,2,2.0,,,,2.0,,,,,,
44,2,5.0,,,,4.0,,,,,,
45,2,3.0,,,,3.0,,,,,,
46,3,4.0,,,,4.0,,,,,,
47,1,3.0,,,,4.0,,,,,,
48,1,4.0,,,,4.0,,,,,,
49,1,1.0,,,,5.0,,,,,,
50,1,2.0,,,,4.0,,,,,,
51,1,5.0,,,,5.0,,,,,,
52,1,4.0,,,,4.0,,,,,,
53,1,3.0,,,,4.0,,,,,,
54,2,5.0,,,,3.0,,,,,,
55,1,1.0,,,,5.0,,,,,,
