Pregunta,Codigo,Descripcion
iden_pol_3,1,Democracia Cristiana
iden_pol_3,2,Evolución Política
iden_pol_3,3,Partido Comunista
iden_pol_3,4,Partido Humanista
iden_pol_3,5,Partido Por la Democracia
iden_pol_3,7,Partido Radical
iden_pol_3,9,Partido Socialista
iden_pol_3,10,Renovación Nacional
iden_pol_3,11,Revolución Democrática
iden_pol_3,13,Unión Demócrata Independiente
iden_pol_3,14,Otros
iden_pol_3,15,Ninguno
iden_pol_3,16,Convergencia Social
iden_pol_3,17,Partido de la Gente
iden_pol_3,18,Partido Republicano
iden_pol_3,19,Comunes
iden_pol_3,20,Partido Liberal
iden_pol_3,22,Federación Regionalista Verde Social (FRVS)
iden_pol_3,23,Movimiento Amarillos Por Chile
iden_pol_3,24,Partido Demócratas Chile
iden_pol_3,-8,No sabe (no leer)
iden_pol_3,-9,No contesta (no leer)
